player_positions
RW, ST, CF
ST, LW
GK
ST
LW, CAM
CAM, CM
ST, LW, RW
CB
LW
RW
CF, ST
CDM
LW, RW
CDM, RB
CF, CAM
CM
LW, ST
CDM, CM
RM, LM, CAM
RB
LB
RW, CAM, CM
RW, LW
ST, CF, LW
LM, CF
CF
CM, CDM
CAM, CF, ST
CAM, RM, RW
CAM, RM, CF
LM, ST
LM
CB, CDM
CM, CDM, CAM
CF, LW, CAM
RM, LM, RW
CAM, CM, CF
CAM, RW
CAM, CF
CAM, CM, RM
LB, LM
CM, RM, LM
LW, CF
RW, RM
LM, RM, LW
CM, LM, LB
LM, LB, CM
RB, RM
RB, LB
LM, RW, LW
ST, RW
RM, RB
CB, LB
CAM, CM, LW
RM, CM
LM, LW, RM
RB, RWB
RM
CM, CAM
CDM, CB, CM
CAM, RM, ST
CM, CAM, LM
RW, LW, CAM
CM, CAM, CDM
CAM, LW, CM
LW, CAM, RW
RB, CM
RM, CF
LM, RM, CF
RW, RM, CF
ST, RM, CF
LM, LWB
LM, RM
CAM, RM
CDM, CM, RB
RM, ST
RM, RW
CM, CF, RM
RB, CDM, CM
RW, LW, RM
LM, LW
CM, LM, RM
CB, CDM, LB
RWB, RM
CAM, LW, ST
LB, CB, LWB
ST, CAM
LB, LM, RM
CM, LM
LM, LB
RM, LM, CF
ST, RM, LM
LW, RW, LM
LM, CAM, RM
RB, CB
LWB
CF, ST, CAM
ST, CF
CF, LM, LW
CDM, CB
CAM, ST
RM, CAM
LM, CAM
LB, LWB
RB, RM, RW
CAM
RW, CAM
ST, RW, LW
RWB, RB
ST, LM
RM, RW, ST
LWB, LB
CDM, CM, CAM
CAM, CM, ST
RB, CB, RWB
CB, RB
LM, LW, ST
LW, ST, CM
CB, RB, RWB
LW, RW, CAM
LW, CAM, CM
RM, CAM, CM
RW, ST, LW
CM, LM, CDM
LB, LM, LWB
CM, RB, LB
ST, CAM, RW
RB, RM, CM
LW, LM
RW, ST
CAM, LW
CF, CAM, ST
RM, CAM, RW
CB, LB, RB
RWB, RB, RM
